"","geoid2","date","month","day","year","elapsed","country","continent","population_2019","cases","deaths","date_rep","cases_cum","deaths_cum","deaths_cum_log","deaths_cum_l7","deaths_cum_g7","region","gov_effect","trade","ineq","gdp_pc","pop_tot","older_m","older_f","air_travel","fdi","pop_density","urban","pop_below14_2018","migration_share","oil","life_exp_2017","soc_insur_cov","soc_contrib","soc_safety","polity","gini","elf_epr","rq_polarization","count_powerless","share_powerless","media_critical","journal_harass","health_equality","property_rights","transparent_law","bureaucracy_corrupt","pos_gov_lr","polar_rile","trust_people","trust_gov","electoral_pop","federal_ind","woman_leader","checks_veto","polariz_veto","dist_senate","dist_presid","dist_parlm","dist_anyelec","elect_pressure","infections_mers","infections_sars","infections_ebola","infection","vdem_libdem","al_etfra","al_religfra","fe_etfra","vdem_mecorrpt","share_health_ins","pandemic_prep","resp_disease_prev","detect_index","doctors_pc","hosp_beds_pc","literacy_rate","healthcare_qual","acc_sanitation","health_exp_pc","hdi","health_index","respond_index","scode","state_fragility","effect","legit","seceff","secleg","poleff","polleg","ecoeff","ecoleg","soceff","socleg","pr","share_older","pop_tot_log","pop_density_log","distancing_bin","lockdown_bin","lockdown_n","distancing_n","metro_area","iso_3166_2_code","census_fips_code","retail","grocery","parks","transit","work","residential","mobility_index","stringency","C1_School.closing","C2_Workplace.closing","C3_Cancel.public.events","C4_Restrictions.on.gatherings","C5_Close.public.transport","C6_Stay.at.home.requirements","C7_Restrictions.on.internal.movement","C8_International.travel.controls","H1_Public.information.campaigns","temp_cumul","precip_cumul","weeknumber","excess_deaths_weekly","excess_deaths_last_obs","excess_deaths_cum","excess_deaths_cum_log","deaths_cum_per_million","deaths_cum_per_million_log","excess_deaths_cum_per_million","excess_deaths_cum_per_million_log","forcats..fct_explicit_na.geoid2.","relative_start","elapsed_rel","relative_start_d","elapsed_rel_d"
"Aruba","ABW","2021-06-21","6","21","2021","538","Aruba","America","","0","0","2021-06-21","11108","107","4.682","107","0","Latin America & Caribbean","1.058","","","","0.106","6093","8252","12.522","135529098.581","588.028","","17.802","34.762","0","76.01","","","","","","","","","","","","","","","","","","","","0","","0","","","","","","","","","","","0","","","","","","99.2","","","","","","","","","","","","","","","","","","","","","","","","","","13.553","-2.246","6.377","","","","","","","","","","","","","","-6.4","","","","","","","","","","","","","25_2021","","","","","1010.912","6.92","","","ABW","6","532","160","378"
"Afghanistan","AFG","2021-06-21","6","21","2021","538","Afghanistan","Asia","38928341","14281","681","2021-06-21","105749","4293","8.365","3612","0.133","South Asia","-1.457","49.236","","2.19","37.172","445283","515559","14.359","119435105.715","56.938","10.792","43.09","1.176","0.001","64.13","","0.601","8.821","-1","31.4","0.744","0.676","1","0.015","0.865","-0.516","0.142","0.423","0.139","0.581","0","","","","0","-0.56","0","","","","1662","1329","1329","0.001","","","","0","0.23","0.769","0.272","0.751","2.292","","32.3","3.889","44.8","29.5","50","31.7","25.9","39.2","8","0.5","21","23.6","AFG","20","10","10","3","3","1","1","4","3","2","3","0","2.585","3.616","4.042","","","","","","","","","","","","","","18.6","","","","","","","","","","","13.196","30.656","25_2021","","","","","115.489","4.758","","","AFG","76","462","104","434"
"Angola","AGO","2021-06-21","6","21","2021","538","Angola","Africa","","0","0","2021-06-21","37678","859","6.757","859","0","Sub-Saharan Africa","-1.052","66.378","39.6","6.934","30.81","304406","378459","14.232","-6456076413.12","24.713","25.233","46.809","0.427","15.444","60.379","","5.002","","-2","","0.748","0.699","4","0.62","1.508","1.383","-1.173","0.603","-0.541","0.717","0.333","","","","0","-0.62","0","1","1","","895","895","895","0.001","","","","0","0.151","0.787","0.628","0.756","1.294","","25.2","4.413","17.9","14.4","80","66","33.4","39.4","82","0.6","10.9","21.7","ANG","16","7","9","2","2","1","1","2","3","2","3","1","2.216","3.428","3.207","","","","","","","","","","","","","","-5.8","","","","","","","","","","","21.937","89.617","25_2021","","","","","27.881","3.363","","","AGO","20","518","104","434"
"Anguilla","AIA","2021-06-21","6","21","2021","538","Anguilla","America","","0","0","2021-06-21","109","0","0","0","","","0.83","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","26.054","118.393","25_2021","","","","","","","","","AIA","265","273","",""
"Albania","ALB","2021-06-21","6","21","2021","538","Albania","Europe","","0","0","2021-06-21","132490","2454","7.806","2454","0","Europe & Central Asia","0.115","76.801","","13.601","2.866","189497","204463","12.622","1204383363.605","104.612","","17.673","1.989","1.368","78.333","36.255","21.387","19.082","9","38.4","0.314","0.533","2","0.1","-0.664","0.415","1.265","0.737","2.143","0.655","0.667","-1.528","","","0","0.209","0","3","3","","769","471","471","0.002","","","","0","0.43","0.22","0.472","0.097","2.168","23.6","52.9","2.863","74.3","128.6","290","97.2","75.4","97.7","314","0.8","35.9","52","ALB","1","1","0","0","0","0","0","1","0","0","0","1","13.744","1.053","4.65","","","","","","","","","","","","","","","","","","","","","","","","","12.42","82.1","25_2021","","","","","856.133","6.754","","","ALB","13","525","27","511"
"Andorra","AND","2021-06-21","6","21","2021","538","Andorra","Europe","","0","0","2021-06-21","13864","127","4.852","127","0","Europe & Central Asia","1.945","","","","0.077","","","","","163.843","","","59.714","","","","","","","30.686","","","","","","","","","","","","","25.574","49.096","0","","0","","","","","1122","1122","0.001","","","","0","","0.714","0.233","","","","30.5","4.197","14.2","369","250","100","94.7","100","2446","0.9","9.2","30.5","","","","","","","","","","","","","","","-2.564","5.099","","","","","","","","","","","","","","","","","","","","","","","","","8.483","84.106","25_2021","","","","","1649.222","7.409","","","AND","13","525","27","511"
"United Arab Emirates","ARE","2021-06-21","6","21","2021","538","United Arab Emirates","Asia","9890400","14043","31","2021-06-21","612029","1757","7.472","1726","0.016","Middle East & North Africa","1.431","159.729","","66.968","9.631","68980","35562","18.375","10385286000","135.609","59.972","14.604","88.404","13.046","77.647","","6.81","","-8","","0.211","0.422","0","0","-2.861","-1.882","1.815","0.376","1.888","0.124","0","-1.297","","","0","-0.498","0","1","1","","","","2000","0","87","","","0","0.097","0.625","0.331","0.737","0.348","100","46.7","3.288","31.6","155.8","120","90","70.3","100","1845","0.9","22.9","49.7","UAE","5","1","4","0","1","1","0","0","3","0","0","","1.085","2.265","4.91","","","","","","","","","","","","","","-22.8","","","","","","","","","","","27.707","7.23","25_2021","","","","","182.433","5.212","","","ARE","55","483","97","441"
"Argentina","ARG","2021-06-21","6","21","2021","538","Argentina","America","","0","0","2021-06-21","4277332","89490","11.402","89490","0","Latin America & Caribbean","0.026","30.7","29.9","22.746","44.495","2021288","2925564","16.71","11872856662.765","16.259","43.008","24.761","4.805","0.727","76.372","31.377","34.362","23.584","9","38.325","0.059","0.115","1","0.015","2.067","1.649","0.991","0.824","0.291","0.367","0","0.568","20.104","22.601","0","0.738","0","4","4","599","1325","599","599","0.002","","","","0","0.67","0.255","0.224","0.255","2.955","96.8","58.6","3.433","74.9","390.7","500","99.1","68.1","94.8","1140","0.8","54.9","50.6","ARG","3","1","2","0","0","0","1","1","1","0","0","1","11.118","3.795","2.789","","","","","","","","","","","","","","-53","","","","","","","","","","","15.639","51.744","25_2021","","","","","2011.26","7.607","","","ARG","6","532","27","511"
"Armenia","ARM","2021-06-21","6","21","2021","538","Armenia","Europe","2963234","530","11","2021-06-21","224253","4499","8.412","4488","0.006","Europe & Central Asia","-0.024","91.115","29.2","12.715","2.952","130888","201290","","254146163.557","103.68","36.599","20.633","6.336","0","74.797","55.057","0.726","35.08","7","36.737","0.041","0.081","2","0.014","1.422","1.127","1.742","0.894","1.448","0.227","0","1.795","11.023","39.639","0","0.209","0","2","2","","1817","1368","1368","0.001","","","","0","0.233","0.127","0.458","0.134","1.774","100","50.2","2.892","60.8","280.3","420","99.7","70.7","91.6","144","0.8","25.7","55.5","ARM","6","3","3","0","1","1","0","2","2","0","0","1","11.253","1.082","4.641","","","","","","","","","","","","","","","","","","","","","","","","","7.548","43.444","25_2021","","","","","1524.167","7.33","","","ARM","76","462","104","434"
"Antigua & Barbuda","ATG","2021-06-21","6","21","2021","538","Antigua & Barbuda","America","","0","0","2021-06-21","1263","42","3.761","42","0","Latin America & Caribbean","-0.006","","","21.116","0.096","3904","4570","13.271","135127898.77","218.832","","22.081","30.586","0","76.752","","","","","","","","","","","","","","","","","","","","0","","0","","","","","1115","1115","0.001","","","","0","","0.164","0.684","","","51.1","29","3.271","19.1","15.8","380","99","69.8","87.5","591","0.8","7.4","21.7","","","","","","","","","","","","","","8.801","-2.34","5.388","","","","","","","","","","","","","","-3","","","","","","","","","","","26.507","179.085","25_2021","","","","","436.2","6.08","","","ATG","20","518","342","196"
